lumi,L1_seeds,max_rate,purity,HLT_Path
1.6,L1_SingleMu22 OR L1_SingleMu14er1p5,1765.59,0.72,HLT_Mu9_IP6
1.6,L1_SingleMu22 OR L1_SingleMu12er1p5,2524.05,0.76,HLT_Mu9_IP6
1.6,L1_SingleMu22 OR L1_SingleMu10er1p5,3456.58,0.79,HLT_Mu9_IP6
1.4,L1_SingleMu22 OR L1_SingleMu14er1p5,1544.89,0.72,HLT_Mu9_IP6
1.4,L1_SingleMu22 OR L1_SingleMu12er1p5,2208.54,0.76,HLT_Mu9_IP6
1.4,L1_SingleMu22 OR L1_SingleMu10er1p5,3024.51,0.79,HLT_Mu9_IP6
1.4,L1_SingleMu22 OR L1_SingleMu9er1p5,3165.94,0.79,HLT_Mu9_IP6
1.2,L1_SingleMu22 OR L1_SingleMu12er1p5,1893.04,0.76,HLT_Mu9_IP6
1.2,L1_SingleMu22 OR L1_SingleMu10er1p5,2592.43,0.79,HLT_Mu9_IP6
1.2,L1_SingleMu22 OR L1_SingleMu9er1p5,2713.66,0.79,HLT_Mu9_IP6
1.2,L1_SingleMu22 OR L1_SingleMu8er1p5,2816.24,0.78,HLT_Mu9_IP6
1,L1_SingleMu22 OR L1_SingleMu8er1p5,2346.87,0.78,HLT_Mu9_IP6
1,L1_SingleMu22 OR L1_SingleMu7er1p5,2416.81,0.76,HLT_Mu9_IP6
1,L1_SingleMu22 OR L1_SingleMu6er1p5,2556.69,0.73,HLT_Mu9_IP6
0.8,L1_SingleMu22 OR L1_SingleMu7er1p5,1933.00,0.76,HLT_Mu9_IP6
0.8,L1_SingleMu22 OR L1_SingleMu6er1p5,2045.00,0.73,HLT_Mu9_IP6
1.4,L1_SingleMu22 OR L1_SingleMu14er1p5,1871.28,0.65,HLT_Mu9_IP5
1.4,L1_SingleMu22 OR L1_SingleMu12er1p5,2632.84,0.69,HLT_Mu9_IP5
1.4,L1_SingleMu22 OR L1_SingleMu10er1p5,3514.08,0.74,HLT_Mu9_IP5
1.4,L1_SingleMu22 OR L1_SingleMu9er1p5,3699.04,0.73,HLT_Mu9_IP5
1.2,L1_SingleMu22 OR L1_SingleMu12er1p5,2256.72,0.69,HLT_Mu9_IP5
1.2,L1_SingleMu22 OR L1_SingleMu10er1p5,3012.07,0.74,HLT_Mu9_IP5
1.2,L1_SingleMu22 OR L1_SingleMu9er1p5,3170.60,0.73,HLT_Mu9_IP5
1.2,L1_SingleMu22 OR L1_SingleMu8er1p5,3273.18,0.72,HLT_Mu9_IP5
1,L1_SingleMu22 OR L1_SingleMu8er1p5,2727.65,0.72,HLT_Mu9_IP5
1,L1_SingleMu22 OR L1_SingleMu7er1p5,2805.36,0.71,HLT_Mu9_IP5
1,L1_SingleMu22 OR L1_SingleMu6er1p5,2945.24,0.68,HLT_Mu9_IP5
0.8,L1_SingleMu22 OR L1_SingleMu7er1p5,2244.29,0.71,HLT_Mu9_IP5
0.8,L1_SingleMu22 OR L1_SingleMu6er1p5,2356.19,0.68,HLT_Mu9_IP5
1.6,L1_SingleMu22 OR L1_SingleMu14er1p5,1317.98,0.8,HLT_Mu12_IP6
1.6,L1_SingleMu22 OR L1_SingleMu12er1p5,1554.22,0.84,HLT_Mu12_IP6
1.6,L1_SingleMu22 OR L1_SingleMu10er1p5,1740.72,0.89,HLT_Mu12_IP6
1.4,L1_SingleMu22 OR L1_SingleMu14er1p5,1153.23,0.8,HLT_Mu12_IP6
1.4,L1_SingleMu22 OR L1_SingleMu12er1p5,1359.94,0.84,HLT_Mu12_IP6
1.4,L1_SingleMu22 OR L1_SingleMu10er1p5,1523.13,0.89,HLT_Mu12_IP6
1.4,L1_SingleMu22 OR L1_SingleMu9er1p5,1544.89,0.88,HLT_Mu12_IP6
1.2,L1_SingleMu22 OR L1_SingleMu12er1p5,1165.66,0.84,HLT_Mu12_IP6
1.2,L1_SingleMu22 OR L1_SingleMu10er1p5,1305.54,0.89,HLT_Mu12_IP6
1.2,L1_SingleMu22 OR L1_SingleMu9er1p5,1324.19,0.88,HLT_Mu12_IP6
1.2,L1_SingleMu22 OR L1_SingleMu8er1p5,1380.14,0.84,HLT_Mu12_IP6
1,L1_SingleMu22 OR L1_SingleMu8er1p5,1103.49,0.88,HLT_Mu12_IP6
1,L1_SingleMu22 OR L1_SingleMu7er1p5,1150.12,0.84,HLT_Mu12_IP6
1,L1_SingleMu22 OR L1_SingleMu6er1p5,1204.52,0.81,HLT_Mu12_IP6
0.8,L1_SingleMu22 OR L1_SingleMu7er1p5,963.61,0.81,HLT_Mu12_IP6
0.8,L1_SingleMu22 OR L1_SingleMu6er1p5,1056.87,0.75,HLT_Mu12_IP6
1.4,L1_SingleMu22 OR L1_SingleMu14er1p5,2339.10,0.57,HLT_Mu9_IP4
1.4,L1_SingleMu22 OR L1_SingleMu12er1p5,3209.46,0.63,HLT_Mu9_IP4
1.4,L1_SingleMu22 OR L1_SingleMu10er1p5,4210.37,0.68,HLT_Mu9_IP4
1.4,L1_SingleMu22 OR L1_SingleMu9er1p5,4395.32,0.68,HLT_Mu9_IP4
1.2,L1_SingleMu22 OR L1_SingleMu12er1p5,2750.96,0.63,HLT_Mu9_IP4
1.2,L1_SingleMu22 OR L1_SingleMu10er1p5,3608.89,0.68,HLT_Mu9_IP4
1.2,L1_SingleMu22 OR L1_SingleMu9er1p5,3767.42,0.68,HLT_Mu9_IP4
1.2,L1_SingleMu22 OR L1_SingleMu8er1p5,3870.00,0.67,HLT_Mu9_IP4
1,L1_SingleMu22 OR L1_SingleMu8er1p5,3139.52,0.68,HLT_Mu9_IP4
1,L1_SingleMu22 OR L1_SingleMu7er1p5,3225.00,0.67,HLT_Mu9_IP4
1,L1_SingleMu22 OR L1_SingleMu6er1p5,3302.71,0.66,HLT_Mu9_IP4
0.8,L1_SingleMu22 OR L1_SingleMu7er1p5,2642.17,0.66,HLT_Mu9_IP4
0.8,L1_SingleMu22 OR L1_SingleMu6er1p5,2754.07,0.64,HLT_Mu9_IP4